,Brand,Categorie,Description,Name,Photo,Price
49, Vaporesso,e_cigarette,"Le Kit Armour Pro Vaporesso ❤ est un élégant alliage, entre ▶ ergonomie ▶ puissance et ▶ technologies, que les amateurs de la marque vont adorer ❤",Kit Armour Pro 100W - Vaporesso,https://www.evaps.fr/documents/media/images/contenu/kit-armour-pro-vaporesso.jpg,64.90
99, Wismec,e_cigarette,,Coffret RX Gen3 - Wismec,https://www.evaps.fr/documents/media/images/contenu/rx-gen3-wismec.jpg,69.90
298,liquide American Mix 50ml - Liquideo,e_liquide,"American Mix Liquideo 50ml ❤ est un tabac blond américain, doux et subtil qui satisfera les amateurs de saveur tabac.",E-liquide American Mix 50ml - Liquideo,https://www.evaps.fr/documents/media/images/contenu/eliquide-american-mix-liquideo-50ml.jpg,19.90
240, Petit Nuage,e_liquide,"L'e liquide Petit Nuage Flocon Vanillé ❤ vous rappellera sans nul doute la fraîcheur d'un petit bonbon à la menthe sucré, mêlée à la douceur de la vanille ✔",Flocon Vanillé 60ml - Petit Nuage,https://www.evaps.fr/documents/media/images/contenu/flocon-vanille-petit-nuage.jpg,24.90
14, Geekvape,e_cigarette,Le kit Aegis Mini Geekvape ❤ est un coffret complet de cigarette électronique signé Geekvape.,Kit Aegis Mini - Geekvape,https://www.evaps.fr/documents/media/images/contenu/kit-aegis-mini-geekvape.jpg,59.90
124, Smoktech,e_cigarette,,Kit Alien Baby AL85 - Smoktech,https://www.evaps.fr/documents/media/images/contenu/kit-alien-baby-al85-smoktech.jpg,57.90
195,liquide Fraise Rhubarbe - So Fifty,e_liquide,Le Fraise Rhubarbe So Fifty ❤ est une nouvelle version du e-liquide du même nom fabriqué par Alfaliquid. Redécouvrez le délicat mariage d'une fraise sucrée et d'une rhubarbe pétillante avec cet e-liquide français Fraise Rhubarbe Alfaliquid composé de 50% de PG et 50 % de VG !,E-liquide Fraise Rhubarbe - So Fifty,https://www.evaps.fr/documents/media/images/contenu/fraise-rhubarbe-10ml-so-fifty.jpg,5.90
202, Les Déglingos,e_liquide,Le Eliquide Best Friends Les Déglingos ★ va vous faire goûter au plaisir d'un financier pâtissier à la framboise. Cette gourmandise fruitée intense est un parfait équilibre entre une pâtisserie moelleuse et un délicieux fruit sucré !,Best Friends 50ml - Les Déglingos,https://www.evaps.fr/documents/media/images/contenu/best-friends-les-deglingos.jpg,21.90
187, Avap,e_liquide,"Voyez la vie en bleu avec le e-liquide Blue Devil Avap ❤ une délicieuse mixture composée de framboise bleue, de cassis et de réglisse pour le plus grand bonheur de vos papilles curieuses.",Blue Devil - Avap,https://www.evaps.fr/documents/media/images/contenu/blue-devil-avap.jpg,5.90
24, Ijoy,e_cigarette,Le Kit iJoy Zenith 3 VV ✔ est un nouveau kit de e-cigarette performant et original signé iJoy.,Kit Zenith 3 VV - Ijoy,https://www.evaps.fr/documents/media/images/contenu/kit-zenith-3-ijoy.jpg,69.90
329, Greeneo,diy,Boostez vos recettes DIY en CBD avec le booster Greeneo CBD ★ Ajoutez celui-ci à vos préparations et obtenez un délicieux e-liquide DIY au CBD qui ne laissera pas vos sens indifférents.,Booster CBD - Greeneo,https://www.evaps.fr/documents/media/images/contenu/booster-cbd-greeneo.jpg,25.00
433, Hold Up,diy,Braquez votre clearomiseur avec le concentré Pig Doherty signé Hold Up © !,Concentré Pig Doherty - Hold Up,https://www.evaps.fr/documents/media/images/contenu/concentre-pig-doherty-hold-up.jpg,5.90
201, Les Déglingos,e_liquide,"Le eliquide Hell's Kitchen Les Déglingos ★ est une création savoureuse et originale, et vous propose de vaper une confiture sucrée et fondante, à base de fruits rouges fraîchement cueillis et d'une goyave tropicale intense...",Hell's Kitchen 50ml - Les Déglingos,https://www.evaps.fr/documents/media/images/contenu/hells-kitchen-les-deglingos.jpg,21.90
209, Furiosa Vapor,e_liquide,"Le Furiosa e liquide Lava Drops 40ml ❤ est un trésor de vapeur et de saveurs entre exotisme et jus frais revigorant, que vous allez adorer ✔",Lava Drops 40ml - Furiosa Vapor,https://www.evaps.fr/documents/media/images/contenu/lava-drops-furiosa.jpg,20.00
142, Joyetech,e_cigarette,,Kit eGo One V2 XL - Joyetech,https://www.evaps.fr/documents/media/images/contenu/kit-ego-one-v2-xl-joyetech.jpg,36.90
440, Cloud Vapor,diy,"Succombez aux saveurs du Kasai, signé Cloud Vapor ©.",Concentré Kasai - Cloud Vapor,https://www.evaps.fr/documents/media/images/contenu/concentre-kasai-cloud-vapor.jpg,6.90
137, Hugo Vapor,e_cigarette,"Le Pathfinder V2 Hugo Vapor ✔ est un kit de vaporisateur électronique comprenant une batterie et un atomiseur herbe sèche.Fabriqué par Hugo Vapor, le vaporisateur herbe Pathfinder II est simple à utiliser. Il est équipé d'une batterie interne de 2200 mAh, promettant une autonomie allant jusqu'à 90 minutes.",Kit Pathfinder V2 - Hugo Vapor,https://www.evaps.fr/documents/media/images/contenu/kit-pathfinder-v2-vapor.jpg,29.90
405, Swag Juice,diy,Boostez votre clearomiseur avec l'arôme Tamarin Supreme Energy Swag Juice ❤,Concentré Tamarin 10ml - Swag Juice,https://www.evaps.fr/documents/media/images/contenu/concentre-tamarin-swag-juice.jpg,5.90
234, Riot Squad,e_liquide,Laissez vous tenter par les douces saveurs d'orange et d'agrumes du e liquide Iron Bruise Riot Squad ❤,Iron Bruise 50ml - Riot Squad,https://www.evaps.fr/documents/media/images/contenu/iron-bruise-riot-squad.jpg,19.90
347, Divine,diy,L'arôme concentré Divine Roobarb Custard ❤ est une recette qui vient s'ajouter aux étonnants arômes DIY des britanniques de Chef's Flavour.,Concentré Roobarb Custard - Divine,https://www.evaps.fr/documents/media/images/contenu/concentre-roobarb.jpg,13.50
67, Smoktech,e_cigarette,Toute la puissance du Kit Stick Prince TFV12 signé Smoktech © dans votre poche !,Kit Stick Prince - Smoktech,https://www.evaps.fr/documents/media/images/contenu/kit-stick-prince-smoktech.jpg,41.90
